DESARROLLADORA,PROYECTO,N INMUEBLE,MODELO,AREA TOTAL,QUE FALTA
GRUPO MG,FORESTA,401,X01,182.43,dormitorios
INMGENIO,ALONSO,505,TIPO X05,134.96,dormitorios
GRUPO SANTA MARÍA,MIRAMAR 3,104,TIPO 104,130.94,vista
NOI,LA FRAGATA,201,X01,95.45,vista
NOI,LA FRAGATA,401,X01,95.45,vista
NOI,LA FRAGATA,301,X01,95.45,vista
NOI,LA FRAGATA,302,X02,55.32,vista
NOI,LA FRAGATA,503,X03,75.26,vista
GRUPO MG,DULANTO - B,1308,X08,59.5,dormitorios
URBANA,GRACIA,1104,,75.59,vista
MARCAN,TIME BENAVIDES,405,OFICINA,2026-08-28 00:00:00,area
URBANA,GRACIA,1004,,75.59,vista
ALBAMAR,ESSENCE,2005,CINA,83.54,dormitorios; entrega; banco
ALBAMAR,ESSENCE,2004,BINB,60.04,dormitorios; entrega; banco
ALBAMAR,ESSENCE,2003,BINA,60.01,dormitorios; entrega; banco
ALBAMAR,ESSENCE,2002,CEXB1,82.59,dormitorios; entrega; banco
ALBAMAR,ESSENCE,2001,CEXA1,82.57,dormitorios; entrega; banco
ALBAMAR,ESSENCE,1905,CINA,86.4,dormitorios; entrega; banco
ALBAMAR,ESSENCE,1904,BINB,60.04,dormitorios; entrega; banco
ALBAMAR,ESSENCE,1903,BINA,60.01,dormitorios; entrega; banco
ALBAMAR,ESSENCE,1902,CEXB1,84.21,dormitorios; entrega; banco
ALBAMAR,ESSENCE,1901,CEXA1,83.97,dormitorios; entrega; banco
ALBAMAR,ESSENCE,1805,CINA,83.54,dormitorios; entrega; banco
ALBAMAR,ESSENCE,1804,BINB,60.04,dormitorios; entrega; banco
ALBAMAR,ESSENCE,1803,BINA,60.01,dormitorios; entrega; banco
ALBAMAR,ESSENCE,1802,CEXB1,82.59,dormitorios; entrega; banco
ALBAMAR,ESSENCE,1801,CEXA1,82.57,dormitorios; entrega; banco
ALBAMAR,ESSENCE,1705,CINA,86.4,dormitorios; entrega; banco
ALBAMAR,ESSENCE,1704,BINB,60.04,dormitorios; entrega; banco
ALBAMAR,ESSENCE,1703,BINA,60.01,dormitorios; entrega; banco
ALBAMAR,ESSENCE,1702,CEXB1,84.21,dormitorios; entrega; banco
ALBAMAR,ESSENCE,1701,CEXA1,83.97,dormitorios; entrega; banco
ALBAMAR,ESSENCE,1605,CINA,83.54,dormitorios; entrega; banco
ALBAMAR,ESSENCE,1604,BINB,60.04,dormitorios; entrega; banco
ALBAMAR,ESSENCE,1603,BINA,60.01,dormitorios; entrega; banco
ALBAMAR,ESSENCE,1602,CEXB1,82.59,dormitorios; entrega; banco
ALBAMAR,ESSENCE,1601,CEXA1,82.57,dormitorios; entrega; banco
ALBAMAR,ESSENCE,1505,CINA,86.4,dormitorios; entrega; banco
ALBAMAR,ESSENCE,1504,BINB,60.04,dormitorios; entrega; banco
ALBAMAR,ESSENCE,1503,BINA,60.01,dormitorios; entrega; banco
ALBAMAR,ESSENCE,1502,CEXB1,84.21,dormitorios; entrega; banco
ALBAMAR,ESSENCE,1501,CEXA1,83.97,dormitorios; entrega; banco
ALBAMAR,ESSENCE,1405,CINA,83.54,dormitorios; entrega; banco
ALBAMAR,ESSENCE,1404,BINB,60.04,dormitorios; entrega; banco
ALBAMAR,ESSENCE,1403,BINA,60.01,dormitorios; entrega; banco
FRONTERA,PARDO 1453,1801,BX1,112.93,vista
ALBAMAR,ESSENCE,1402,CEXB1,82.59,dormitorios; entrega; banco
ALBAMAR,ESSENCE,1401,CEXA1,82.57,dormitorios; entrega; banco
ALBAMAR,ESSENCE,1305,CINA,86.4,dormitorios; entrega; banco
ALBAMAR,ESSENCE,1304,BINB,60.04,dormitorios; entrega; banco
ALBAMAR,ESSENCE,1303,BINA,60.01,dormitorios; entrega; banco
ALBAMAR,ESSENCE,1302,CEXB1,84.21,dormitorios; entrega; banco
ALBAMAR,ESSENCE,1301,CEXA1,83.97,dormitorios; entrega; banco
ALBAMAR,ESSENCE,1205,CINA,83.54,dormitorios; entrega; banco
ALBAMAR,ESSENCE,1204,BINB,60.04,dormitorios; entrega; banco
ALBAMAR,ESSENCE,1203,BINA,60.01,dormitorios; entrega; banco
ALBAMAR,ESSENCE,1202,CEXB1,82.59,dormitorios; entrega; banco
ALBAMAR,ESSENCE,1201,CEXA1,82.57,dormitorios; entrega; banco
ALBAMAR,ESSENCE,1105,CINA,86.4,dormitorios; entrega; banco
ALBAMAR,ESSENCE,1104,BINB,60.04,dormitorios; entrega; banco
ALBAMAR,ESSENCE,1103,BINA,60.01,dormitorios; entrega; banco
ALBAMAR,ESSENCE,1102,CEXB1,84.21,dormitorios; entrega; banco
ALBAMAR,ESSENCE,1101,CEXA1,83.97,dormitorios; entrega; banco
ALBAMAR,ESSENCE,1005,CINA,83.54,dormitorios; entrega; banco
ALBAMAR,ESSENCE,1004,BINB,60.04,dormitorios; entrega; banco
ALBAMAR,ESSENCE,1002,CEXB,82.59,dormitorios; entrega; banco
ALBAMAR,ESSENCE,1001,CEXA,82.57,dormitorios; entrega; banco
ALBAMAR,ESSENCE,905,CINA,86.4,dormitorios; entrega; banco
ALBAMAR,ESSENCE,903,BINA,60.01,dormitorios; entrega; banco
ALBAMAR,ESSENCE,902,CEXB,84.21,dormitorios; entrega; banco
ALBAMAR,ESSENCE,901,CEXA,83.97,dormitorios; entrega; banco
ALBAMAR,ESSENCE,804,BINB,60.04,dormitorios; entrega; banco
ALBAMAR,ESSENCE,803,BINA,60.01,dormitorios; entrega; banco
ALBAMAR,ESSENCE,802,CEXB,82.59,dormitorios; entrega; banco
ALBAMAR,ESSENCE,705,CINA,86.4,dormitorios; entrega; banco
CANTABRIA,LUMO,1702,TIPO 2,87.24,dormitorios
ALBAMAR,ESSENCE,704,BINB,60.04,dormitorios; entrega; banco
ALBAMAR,ESSENCE,703,BINA,60.01,dormitorios; entrega; banco
ALBAMAR,ESSENCE,701,CEXA,83.97,dormitorios; entrega; banco
ALBAMAR,ESSENCE,605,CINA,83.54,dormitorios; entrega; banco
ALBAMAR,ESSENCE,604,BINB,60.04,dormitorios; entrega; banco
ALBAMAR,ESSENCE,602,CEXB,82.59,dormitorios; entrega; banco
ALBAMAR,ESSENCE,601,CEXA,82.57,dormitorios; entrega; banco
ALBAMAR,ESSENCE,505,CINA,86.4,dormitorios; entrega; banco
ALBAMAR,ESSENCE,503,BINA,60.01,dormitorios; entrega; banco
ALBAMAR,ESSENCE,502,CEXB,84.21,dormitorios; entrega; banco
ALBAMAR,ESSENCE,501,CEXA,83.97,dormitorios; entrega; banco
ALBAMAR,ESSENCE,405,CINA,83.54,dormitorios; entrega; banco
ALBAMAR,ESSENCE,404,BINB,60.04,dormitorios; entrega; banco
CANTABRIA,LUMO,1505,TIPO 5,63.5,dormitorios
ALBAMAR,ESSENCE,402,CEXB,82.59,dormitorios; entrega; banco
ALBAMAR,ESSENCE,305,CINA,86.4,dormitorios; entrega; banco
ALBAMAR,ESSENCE,304,BINB,60.04,dormitorios; entrega; banco
ALBAMAR,ESSENCE,303,BINA,60.01,dormitorios; entrega; banco
ALBAMAR,ESSENCE,301,CEXA,83.97,dormitorios; entrega; banco
ALBAMAR,ESSENCE,205,CINX,108.55,dormitorios; entrega; banco
ALBAMAR,ESSENCE,204,BINB,60.04,dormitorios; entrega; banco
ALBAMAR,ESSENCE,202,CEXB,83.35,dormitorios; entrega; banco
ALBAMAR,ESSENCE,201,CEXA,83.08,dormitorios; entrega; banco
CANTABRIA,LUMO,1105,TIPO 5,63.5,dormitorios
GRUPO SANTA MARÍA,MONOGRAM,705,TIPO 5,110.27,entrega
GRUPO SANTA MARÍA,MONOGRAM,1003,TIPO 3D,169.17,entrega
FRANCA,ATAHUALPA,904,DÚPLEX,121.3,entrega
FRANCA,ATAHUALPA,806,6,82.5,entrega
URBANA,GRACIA,902,,117.47,vista
URBANA,GRACIA,901,,112.42,vista
URBANA,GRACIA,802,,117.47,vista
URBANA,GRACIA,801,,112.42,vista
URBANA,GRACIA,702,,117.47,vista
GRUPO SANTA MARÍA,MONOGRAM,802,TIPO 2B,84.04,entrega
GRUPO SANTA MARÍA,MONOGRAM,1004,TIPO 4D,165.53,entrega
URBANA,GRACIA,602,,117.47,vista
GRUPO SANTA MARÍA,MONOGRAM,804,TIPO 4B,110.27,entrega
URBANA,GRACIA,601,,112.42,vista
URBANA,GRACIA,1301,,112.42,vista
GRUPO SANTA MARÍA,MONOGRAM,104,TIPO 104,89.13,vista; entrega
GRUPO SANTA MARÍA,MONOGRAM,202,TIPO 2A,82.31,entrega
GRUPO SANTA MARÍA,MONOGRAM,201,TIPO 1A,84.15,entrega
GRUPO SANTA MARÍA,MONOGRAM,105,TIPO 105,114.84,entrega
GRUPO SANTA MARÍA,MONOGRAM,302,TIPO 2,113.28,entrega
GRUPO SANTA MARÍA,MONOGRAM,301,TIPO 1,113.44,entrega
GRUPO SANTA MARÍA,MONOGRAM,305,TIPO 5,110.27,entrega
URBANA,GRACIA,502,,117.47,vista
GRUPO SANTA MARÍA,MONOGRAM,203,TIPO 3A,108.02,entrega
GRUPO SANTA MARÍA,MONOGRAM,501,TIPO 1,113.44,entrega
GRUPO SANTA MARÍA,MONOGRAM,503,TIPO 3,84.04,entrega
GRUPO SANTA MARÍA,MONOGRAM,505,TIPO 5,110.27,entrega
GRUPO SANTA MARÍA,MONOGRAM,403,TIPO 3,84.04,entrega
GRUPO SANTA MARÍA,MONOGRAM,602,TIPO 2,113.28,entrega
GRUPO SANTA MARÍA,MONOGRAM,703,TIPO 3,84.04,entrega
GRUPO SANTA MARÍA,MONOGRAM,402,TIPO 2,113.28,entrega
GRUPO SANTA MARÍA,MONOGRAM,1002,TIPO 2D,167.39,entrega
GRUPO SANTA MARÍA,MONOGRAM,902,TIPO 2C,110.27,entrega
GRUPO SANTA MARÍA,MONOGRAM,604,TIPO 4,82.31,entrega
GRUPO SANTA MARÍA,MONOGRAM,404,TIPO 4,82.31,entrega
GRUPO SANTA MARÍA,MONOGRAM,401,TIPO 1,113.44,entrega
GRUPO SANTA MARÍA,MONOGRAM,901,TIPO 1C,82.31,entrega
URBANA,GRACIA,401,,112.42,vista
URBANA,GRACIA,302,,117.47,vista
ALBAMAR,ESSENCE,203,BINA,60.55,dormitorios; entrega; banco
IMAGINA,ONE PLACE,1408,DPTO 207. 308 AL 2008,69.39,dormitorios
IMAGINA,ONE PLACE,902,DPTO 302 AL 2002,85.56,dormitorios
IMAGINA,ONE PLACE,1102,DPTO 302 AL 2002,85.56,dormitorios
IMAGINA,ONE PLACE,1708,DPTO 207. 308 AL 2008,69.39,dormitorios
IMAGINA,ONE PLACE,1907,DPTO 206. 307 AL 2007,69.39,dormitorios
IMAGINA,ONE PLACE,1508,DPTO 207. 308 AL 2008,69.39,dormitorios
URBANA,GRACIA,1502,,117.47,vista
IMAGINA,ONE PLACE,207,DPTO 207. 308 AL 2008,69.39,dormitorios
IMAGINA,ONE PLACE,1507,DPTO 206. 307 AL 2007,69.39,dormitorios
CANTABRIA,LUMO,805,TIPO 5,63.5,dormitorios
CANTABRIA,LUMO,705,TIPO 5,63.5,dormitorios
CANTABRIA,LUMO,605,TIPO 5,63.5,dormitorios
IMAGINA,ONE PLACE,1608,DPTO 207. 308 AL 2008,69.39,dormitorios
IMAGINA,ONE PLACE,1807,DPTO 206. 307 AL 2007,69.39,dormitorios
IMAGINA,ONE PLACE,2001,DPTO 201 AL 2001,55.18,dormitorios
IMAGINA,ONE PLACE,2006,DPTO 205. 306 AL 2006,55.65,dormitorios
IMAGINA,ONE PLACE,1905,DPTO 204. 305 AL 2005,55.17,dormitorios
IMAGINA,ONE PLACE,1309,DPTO 208. 309 AL 2009,55.1,dormitorios
ALBAMAR,ESSENCE,302,CEXB,84.21,dormitorios; entrega; banco
URBANA,GRACIA,1601,,223.87,vista
GRUPO SANTA MARÍA,MONOGRAM,803,TIPO 3B,82.31,entrega
GRUPO SANTA MARÍA,MONOGRAM,704,TIPO 4,82.31,entrega
GRUPO SANTA MARÍA,MONOGRAM,702,TIPO 2,113.28,entrega
GRUPO SANTA MARÍA,MONOGRAM,701,TIPO 1,113.44,entrega
GRUPO SANTA MARÍA,MONOGRAM,605,TIPO 5,110.27,entrega
GRUPO SANTA MARÍA,MONOGRAM,601,TIPO 1,113.44,entrega
GRUPO SANTA MARÍA,MONOGRAM,502,TIPO 2,113.28,entrega
CANTABRIA,LUMO,1005,TIPO 5,63.5,dormitorios
GRUPO SANTA MARÍA,MONOGRAM,303,TIPO 3,84.04,entrega
GRUPO SANTA MARÍA,MONOGRAM,103,TIPO 103,90.97,entrega
CANTABRIA,LUMO,1305,TIPO 5,63.5,dormitorios
ALBAMAR,ESSENCE,504,BINB,60.04,dormitorios; entrega; banco
URBANA,GRACIA,1002,,117.47,vista
ALBAMAR,ESSENCE,702,CEXB,84.21,dormitorios; entrega; banco
CANTABRIA,LUMO,1402,TIPO 2,87.24,dormitorios
CANTABRIA,LUMO,1502,TIPO 2,87.24,dormitorios
ALBAMAR,ESSENCE,801,CEXA,82.57,dormitorios; entrega; banco
CANTABRIA,LUMO,1302,TIPO 2,87.24,dormitorios
CANTABRIA,LUMO,1002,TIPO 2,87.24,dormitorios
CANTABRIA,LUMO,1602,TIPO 2,87.24,dormitorios
CANTABRIA,LUMO,1202,TIPO 2,87.24,dormitorios
CANTABRIA,LUMO,702,TIPO 2,87.24,dormitorios
CANTABRIA,LUMO,802,TIPO 2,87.24,dormitorios
CANTABRIA,LUMO,502,TIPO 2,87.24,dormitorios
CANTABRIA,LUMO,302,TIPO 2,87.24,dormitorios
ALBAMAR,ESSENCE,1003,BINA,60.01,dormitorios; entrega; banco
CANTABRIA,LUMO,402,TIPO 2,87.24,dormitorios
CANTABRIA,LUMO,305,TIPO 5,63.5,dormitorios
CANTABRIA,LUMO,1102,TIPO 2,87.24,dormitorios
IMAGINA,ONE PLACE,2002,DPTO 302 AL 2002,85.56,dormitorios
IMAGINA,ONE PLACE,1902,DPTO 302 AL 2002,85.56,dormitorios
URBANA,GRACIA,501,,112.42,vista
URBANA,GRACIA,1501,,112.42,vista
URBANA,GRACIA,1302,,117.47,vista
URBANA,GRACIA,1202,,117.47,vista
FRONTERA,PARDO 1453,2302,BX2,94.76,vista
FRONTERA,PARDO 1453,2202,BX2,94.76,vista
FRONTERA,PARDO 1453,2201,BX1,112.93,vista
FRONTERA,PARDO 1453,2102,BX2,94.76,vista
FRONTERA,PARDO 1453,2002,BX2,94.76,vista
FRONTERA,PARDO 1453,1902,BX2,94.76,vista
FRONTERA,PARDO 1453,1901,BX1,112.93,vista
FRONTERA,PARDO 1453,1802,BX2,94.76,vista
FRONTERA,PARDO 1453,1702,BX2,94.76,vista
IMAGINA,ONE PLACE,1804,DPTO 304 AL 2004,85.56,dormitorios
FRONTERA,PARDO 1453,1508,AX8,61.86,vista
FRONTERA,PARDO 1453,1504,AX4,92.42,vista
FRONTERA,PARDO 1453,1503,AX3,60.09,vista
FRONTERA,PARDO 1453,1502,AX2,85.12,vista
FRONTERA,PARDO 1453,1408,AX8,62.74,vista
FRONTERA,PARDO 1453,1406,AX6,79.4,vista
FRONTERA,PARDO 1453,1405,AX5,62.97,vista
FRONTERA,PARDO 1453,1404,AX4,92.42,vista
FRONTERA,PARDO 1453,1403,AX3,60.09,vista
FRONTERA,PARDO 1453,1402,AX2,85.12,vista
FRONTERA,PARDO 1453,1308,AX8,62.74,vista
FRONTERA,PARDO 1453,1307,AX7,89.39,vista
IMAGINA,ONE PLACE,1308,DPTO 207. 308 AL 2008,69.39,dormitorios
FRONTERA,PARDO 1453,1304,AX4,92.42,vista
FRONTERA,PARDO 1453,1303,AX3,60.09,vista
FRONTERA,PARDO 1453,1208,AX8,62.74,vista
FRONTERA,PARDO 1453,1207,AX7,89.39,vista
IMAGINA,ONE PLACE,1906,DPTO 205. 306 AL 2006,55.65,dormitorios
FRONTERA,PARDO 1453,1206,AX6,79.4,vista
FRONTERA,PARDO 1453,1205,AX5,62.97,vista
FRONTERA,PARDO 1453,1204,AX4,92.42,vista
FRONTERA,PARDO 1453,1107,AX7,89.39,vista
FRONTERA,PARDO 1453,1106,AX6,79.4,vista
FRONTERA,PARDO 1453,1105,AX5,62.97,vista
FRONTERA,PARDO 1453,1104,AX4,92.42,vista
FRONTERA,PARDO 1453,304,AX4,92.42,vista
URBANA,GRACIA,1201,,112.42,vista
URBANA,GRACIA,1102,,117.47,vista
FRONTERA,PARDO 1453,2301,DBX1,224.94,vista
URBANA,GRACIA,1101,,112.42,vista
IMAGINA,ONE PLACE,2009,DPTO 208. 309 AL 2009,55.1,dormitorios
MARCAN,TIME BENAVIDES,505,OFICINA,2026-08-28 00:00:00,area
URBANA,GRACIA,1001,,112.42,vista
IMAGINA,ONE PLACE,904,DPTO 304 AL 2004,85.56,dormitorios
IMAGINA,ONE PLACE,704,DPTO 304 AL 2004,85.56,dormitorios
IMAGINA,ONE PLACE,1204,DPTO 304 AL 2004,85.56,dormitorios
IMAGINA,ONE PLACE,804,DPTO 304 AL 2004,85.56,dormitorios
IMAGINA,ONE PLACE,2008,DPTO 207. 308 AL 2008,69.39,dormitorios
IMAGINA,ONE PLACE,2007,DPTO 2007,69.39,dormitorios
URBANA,GRACIA,803,,73.97,vista
CANTABRIA,THU,103,TIPO 17,129.3,dormitorios
IMAGINA,ONE PLACE,1602,DPTO 302 AL 2002,85.56,dormitorios
URBANA,GRACIA,704,,75.59,vista
IMAGINA,ONE PLACE,1504,DPTO 304 AL 2004,85.56,dormitorios
IMAGINA,ONE PLACE,1404,DPTO 304 AL 2004,85.56,dormitorios
IMAGINA,ONE PLACE,1302,DPTO 302 AL 2002,85.56,dormitorios
IMAGINA,ONE PLACE,1402,DPTO 302 AL 2002,85.56,dormitorios
MARCAN,TIME BENAVIDES,905,OFICINA,2026-08-28 00:00:00,area
IMAGINA,ONE PLACE,2004,DPTO 304 AL 2004,85.56,dormitorios
MARCAN,TIME BENAVIDES,1105,OFICINA,2026-08-28 00:00:00,area
URBANA,GRACIA,1003,,73.97,vista
CANTABRIA,LUMO,202,TIPO 2,88.9,dormitorios
CANTABRIA,LUMO,602,TIPO 2,87.24,dormitorios
ALBAMAR,ESSENCE,904,BINB,60.04,dormitorios; entrega; banco
URBANA,GRACIA,604,,75.59,vista
ALBAMAR,ESSENCE,805,CINA,83.54,dormitorios; entrega; banco
CANTABRIA,LUMO,902,TIPO 2,87.24,dormitorios
URBANA,GRACIA,504,,75.59,vista
ALBAMAR,ESSENCE,603,BINA,60.01,dormitorios; entrega; banco
CANTABRIA,LUMO,203,TIPO 3,64.1,dormitorios
URBANA,GRACIA,1103,,73.97,vista
GRUPO SANTA MARÍA,MONOGRAM,405,TIPO 5,110.27,entrega
GRUPO SANTA MARÍA,MONOGRAM,504,TIPO 4,82.31,entrega
CANTABRIA,LUMO,205,TIPO 5,77.2,dormitorios
GRUPO SANTA MARÍA,MONOGRAM,603,TIPO 3,84.04,entrega
IMAGINA,ONE PLACE,1904,DPTO 304 AL 2004,85.56,dormitorios
GRUPO SANTA MARÍA,MONOGRAM,801,TIPO 1B,113.44,entrega
ALBAMAR,ESSENCE,403,BINA,60.01,dormitorios; entrega; banco
URBANA,GRACIA,1402,,117.47,vista
URBANA,GRACIA,204,,93.67,vista
IMAGINA,ONE PLACE,1802,DPTO 302 AL 2002,85.56,dormitorios
IMAGINA,ONE PLACE,1704,DPTO 304 AL 2004,85.56,dormitorios
URBANA,GRACIA,203,,86.05,vista
IMAGINA,ONE PLACE,1702,DPTO 302 AL 2002,85.56,dormitorios
URBANA,GRACIA,1604,,75.59,vista
URBANA,GRACIA,1602,,238.33,vista
IMAGINA,ONE PLACE,2005,DPTO 204. 305 AL 2005,55.17,dormitorios
CANTABRIA,LUMO,405,TIPO 5,63.5,dormitorios
ALBAMAR,ESSENCE,401,CEXA,82.57,dormitorios; entrega; banco
CANTABRIA,LUMO,905,TIPO 5,63.5,dormitorios
URBANA,GRACIA,1603,,153.26,vista
CANTABRIA,LUMO,505,TIPO 5,63.5,dormitorios
URBANA,GRACIA,1503,,73.97,vista
ALBAMAR,MOVE,2202,B2,83.65,dormitorios
ALBAMAR,MOVE,2201,I,167.85,dormitorios
ALBAMAR,MOVE,2102,B2,84.61,dormitorios
ALBAMAR,MOVE,2101,A2,84.08,dormitorios
ALBAMAR,MOVE,2002,B2,83.65,dormitorios
ALBAMAR,MOVE,2001,A2,84.08,dormitorios
ALBAMAR,MOVE,1902,B2,84.61,dormitorios
ALBAMAR,MOVE,1901,A2,84.08,dormitorios
ALBAMAR,MOVE,1802,B2,83.65,dormitorios
ALBAMAR,MOVE,1801,A2,84.08,dormitorios
ALBAMAR,MOVE,1702,B2,84.61,dormitorios
ALBAMAR,MOVE,1701,A2,84.08,dormitorios
ALBAMAR,MOVE,1603,C,67.45,dormitorios
ALBAMAR,MOVE,1602,B,64.97,dormitorios
ALBAMAR,MOVE,1601,A,68.26,dormitorios
ALBAMAR,MOVE,1503,C,67.45,dormitorios
ALBAMAR,MOVE,1502,B,64.97,dormitorios
ALBAMAR,MOVE,1403,C,67.45,dormitorios
ALBAMAR,MOVE,1402,B,64.97,dormitorios
ALBAMAR,MOVE,1303,C,67.45,dormitorios
ALBAMAR,MOVE,1302,B,64.97,dormitorios
ALBAMAR,MOVE,1301,A,68.26,dormitorios
ALBAMAR,MOVE,1203,C,67.45,dormitorios
ALBAMAR,MOVE,1201,A,68.26,dormitorios
ALBAMAR,MOVE,1101,A,68.26,dormitorios
ALBAMAR,MOVE,1001,A,68.26,dormitorios
ALBAMAR,MOVE,903,C,68.35,dormitorios
ALBAMAR,MOVE,902,B,65.68,dormitorios
ALBAMAR,MOVE,901,A,68.67,dormitorios
URBANA,GRACIA,1404,,75.59,vista
ALBAMAR,MOVE,803,C,68.35,dormitorios
ALBAMAR,MOVE,802,B,65.68,dormitorios
ALBAMAR,MOVE,801,A,68.67,dormitorios
ALBAMAR,MOVE,703,C,68.35,dormitorios
ALBAMAR,MOVE,701,A,68.67,dormitorios
ALBAMAR,MOVE,603,C,68.35,dormitorios
ALBAMAR,MOVE,503,C,68.35,dormitorios
ALBAMAR,MOVE,502,B,65.68,dormitorios
ALBAMAR,MOVE,501,A,68.67,dormitorios
ALBAMAR,MOVE,402,B,65.68,dormitorios
ALBAMAR,MOVE,401,A,68.67,dormitorios
ALBAMAR,MOVE,303,C,68.35,dormitorios
ALBAMAR,MOVE,302,B,65.68,dormitorios
ALBAMAR,MOVE,301,A,68.67,dormitorios
ALBAMAR,MOVE,203,C,68.35,dormitorios
ALBAMAR,MOVE,201,A,68.67,dormitorios
URBANA,GRACIA,1403,,73.97,vista
URBANA,GRACIA,1304,,75.59,vista
URBANA,GRACIA,1303,,73.97,vista
URBANA,GRACIA,202,,131.01,vista
GRUPO T&C,MANDRA,107,TIPO 06 DEP 107,83.09,dormitorios
GRUPO T&C,MANDRA,5,TIPO 06 DEP S05,120.7,dormitorios
GRUPO T&C,MANDRA,302,TIPO 02 DEP 202-1602,103.62,dormitorios
URBANA,GRACIA,402,,117.47,vista
URBANA,GRACIA,1204,,75.59,vista
URBANA,GRACIA,1401,,112.42,vista
GRUPO T&C,MANDRA,507,"TIPO 06 DEP 307, 507, 707, 907, 1107, 1307, 1507",87.17,dormitorios
GRUPO T&C,MANDRA,307,"TIPO 06 DEP 307, 507, 707, 907, 1107, 1307, 1507",87.17,dormitorios
GRUPO T&C,MANDRA,206,"TIPO 06 DEP 206, 406, 606, 806, 1006, 1206, 1406, 1606",87.17,dormitorios
GRUPO T&C,MANDRA,205,"TIPO 05 DEP 205, 405, 605, 805, 1005, 1205, 1405",84.58,dormitorios
GRUPO T&C,MANDRA,202,TIPO 02 DEP 202-1602,103.62,dormitorios
GRUPO T&C,MANDRA,4,TIPO 05 DEP S04,118.44,dormitorios
URBANA,GRACIA,1203,,73.97,vista
INVENT,ALIAGA 435,1708,X08,93.37,dormitorios
INVENT,ALIAGA 435,1608,X08,93.37,dormitorios
GRUPO T&C,NIUS,2702,TIPO 2 DUPLEX,126.81,dormitorios
GRATTO INMOBILIARIA,CÉSAR VALLEJO 1176,1304,X04-13AL22,50.45,entrega; banco
GRATTO INMOBILIARIA,CÉSAR VALLEJO 1176,1402,X02,53.5,entrega; banco
GRATTO INMOBILIARIA,CÉSAR VALLEJO 1176,1401,X01,40.06,entrega; banco
GRATTO INMOBILIARIA,CÉSAR VALLEJO 1176,1306,X06-13AL22,58.68,entrega; banco
GRATTO INMOBILIARIA,CÉSAR VALLEJO 1176,1603,X03,69.61,entrega; banco
GRATTO INMOBILIARIA,CÉSAR VALLEJO 1176,1606,X06-13AL22,58.68,entrega; banco
GRATTO INMOBILIARIA,CÉSAR VALLEJO 1176,1604,X04-13AL22,50.45,entrega; banco
GRATTO INMOBILIARIA,CÉSAR VALLEJO 1176,1806,X06-13AL22,58.68,entrega; banco
GRATTO INMOBILIARIA,CÉSAR VALLEJO 1176,2005,X05-13AL22,40.05,entrega; banco
GRATTO INMOBILIARIA,CÉSAR VALLEJO 1176,2004,X04-13AL22,50.45,entrega; banco
GRATTO INMOBILIARIA,CÉSAR VALLEJO 1176,2006,X06-13AL22,58.68,entrega; banco
GRATTO INMOBILIARIA,CÉSAR VALLEJO 1176,2101,X01,40.06,entrega; banco
GRATTO INMOBILIARIA,CÉSAR VALLEJO 1176,2102,X02,53.5,entrega; banco
GRATTO INMOBILIARIA,CÉSAR VALLEJO 1176,2104,X04-13AL22,50.45,entrega; banco
GRATTO INMOBILIARIA,CÉSAR VALLEJO 1176,2105,X05-13AL22,40.05,entrega; banco
GRATTO INMOBILIARIA,CÉSAR VALLEJO 1176,2103,X03,69.61,entrega; banco
GRATTO INMOBILIARIA,CÉSAR VALLEJO 1176,2106,X06-13AL22,58.68,entrega; banco
GRATTO INMOBILIARIA,CÉSAR VALLEJO 1176,2201,X01,40.06,entrega; banco
GRATTO INMOBILIARIA,CÉSAR VALLEJO 1176,2202,X02,53.5,entrega; banco
GRATTO INMOBILIARIA,CÉSAR VALLEJO 1176,2204,X04-13AL22,50.45,entrega; banco
GRATTO INMOBILIARIA,CÉSAR VALLEJO 1176,2203,X03,69.61,entrega; banco
GRATTO INMOBILIARIA,CÉSAR VALLEJO 1176,2205,X05-13AL22,40.05,entrega; banco
GRATTO INMOBILIARIA,CÉSAR VALLEJO 1176,2206,X06-13AL22,58.68,entrega; banco
GRATTO INMOBILIARIA,CÉSAR VALLEJO 1176,2301,X01,40.06,entrega; banco
GRATTO INMOBILIARIA,CÉSAR VALLEJO 1176,2302,X02,53.5,entrega; banco
GRATTO INMOBILIARIA,CÉSAR VALLEJO 1176,2303,X03,69.61,entrega; banco
GRATTO INMOBILIARIA,CÉSAR VALLEJO 1176,2304,D2304,91.4,entrega; banco
GRATTO INMOBILIARIA,CÉSAR VALLEJO 1176,2305,D2305,79.78,entrega; banco
GRATTO INMOBILIARIA,CÉSAR VALLEJO 1176,2306,D2306,112.92,entrega; banco
GRATTO INMOBILIARIA,CÉSAR VALLEJO 1176,2003,X03,69.61,entrega; banco
GRATTO INMOBILIARIA,CÉSAR VALLEJO 1176,1505,X05-13AL22,40.05,entrega; banco
GRATTO INMOBILIARIA,CÉSAR VALLEJO 1176,1906,X06-13AL22,58.68,entrega; banco
GRATTO INMOBILIARIA,CÉSAR VALLEJO 1176,2002,X02,53.5,entrega; banco
GRATTO INMOBILIARIA,CÉSAR VALLEJO 1176,1902,X02,53.5,entrega; banco
GRATTO INMOBILIARIA,CÉSAR VALLEJO 1176,2001,X01,40.06,entrega; banco
GRATTO INMOBILIARIA,CÉSAR VALLEJO 1176,1905,X05-13AL22,40.05,entrega; banco
